name,category,price,stock,description
Cable Organizer Bag,Accessories,11.99,180,Travel electronics organizer
Mouse Pad XL,Accessories,12.99,250,Extended gaming mouse pad
Wrist Rest,Accessories,9.99,200,Gel keyboard wrist rest
Screen Cleaning Kit,Accessories,7.99,300,Microfiber cloth and spray
Desk Clock,Accessories,16.99,150,Digital desk clock with temperature
Backpack,Accessories,44.99,90,Water resistant laptop backpack
Messenger Bag,Accessories,34.99,80,Canvas messenger bag
Tote Bag,Accessories,19.99,150,Canvas tote bag with pockets
Lanyard 5-Pack,Accessories,6.99,400,Assorted color badge lanyards
Badge Holder 10-Pack,Accessories,8.99,300,Clear ID badge holders
Whiteboard Eraser,Office Supplies,3.99,400,Magnetic whiteboard eraser
Calculator,Office Supplies,11.99,200,12-digit desktop calculator
Pencil Sharpener,Office Supplies,4.99,350,Electric pencil sharpener
Glue Sticks 12-Pack,Office Supplies,5.99,400,Washable glue sticks
Correction Tape 6-Pack,Office Supplies,6.99,300,White correction tape
Clipboard,Office Supplies,4.49,350,Standard letter size clipboard
Document Holder,Office Supplies,9.99,200,Adjustable document holder stand
Stamp Pad,Office Supplies,4.99,250,Black ink stamp pad
Letter Opener,Office Supplies,6.99,300,Stainless steel letter opener
Magnifying Glass,Office Supplies,8.99,150,3x handheld magnifying glass
Desk Calendar 2025,Office Supplies,9.99,200,Monthly desk pad calendar
Planner 2025,Office Supplies,14.99,150,Weekly planner with tabs
Wall Calendar 2025,Office Supplies,11.99,180,12 month wall calendar
Business Card Holder,Office Supplies,7.99,250,Leather business card case
Name Badge Kit 50-Pack,Office Supplies,12.99,120,Pin style name badges
Bubble Mailers 25-Pack,Office Supplies,14.99,180,Self-seal bubble mailers
Shipping Labels 100-Pack,Office Supplies,9.99,200,2x4 inch white shipping labels
Receipt Book 3-Pack,Office Supplies,8.99,250,Carbonless receipt books
Invoice Pad 3-Pack,Office Supplies,7.99,200,Carbonless invoice pads
Expanding File Folder,Office Supplies,11.99,150,13-pocket expanding file
Portable Blender,Food & Beverage,24.99,100,USB rechargeable portable blender
Insulated Lunch Bag,Food & Beverage,14.99,180,Insulated lunch tote bag
Reusable Straws 8-Pack,Food & Beverage,7.99,300,Stainless steel straws with brush
Travel Mug 16oz,Food & Beverage,12.99,200,Insulated travel coffee mug
French Press 34oz,Food & Beverage,22.99,90,Stainless steel french press
Pour Over Coffee Maker,Food & Beverage,16.99,110,Glass pour over coffee dripper
Coffee Grinder,Food & Beverage,29.99,80,Manual burr coffee grinder
Tea Infuser,Food & Beverage,6.99,250,Stainless steel tea ball infuser
Spice Rack 12-Jar,Food & Beverage,24.99,70,Rotating spice rack with jars
Measuring Cups Set,Food & Beverage,9.99,200,Stainless steel measuring cups
Resistance Band Door Anchor,Fitness,5.99,300,Door anchor for resistance bands
Yoga Block 2-Pack,Fitness,11.99,180,High density foam yoga blocks
Massage Ball Set,Fitness,9.99,200,Lacrosse ball set for massage
Hand Grip Strengthener,Fitness,7.99,250,Adjustable hand grip exerciser
Pedometer,Fitness,14.99,150,Digital step counter pedometer
Cooling Towel 3-Pack,Fitness,10.99,200,Instant cooling sport towels
Sports Armband,Fitness,8.99,250,Phone armband for running
Yoga Strap,Fitness,6.99,300,Cotton yoga strap 8ft
Balance Board,Fitness,29.99,60,Wooden wobble balance board
Push Up Handles,Fitness,12.99,150,Steel push up bars pair
